date,customer_id,product,amount,quantity
2024-01-15,101,Laptop Pro,1299.99,1
2024-01-16,102,Office Chair,299.99,2
2024-01-17,103,Desk Lamp,49.99,1
2024-01-18,101,USB Hub,29.99,3
2024-01-19,104,Notebook Set,19.99,5
2024-01-20,105,Laptop Pro,1299.99,1
2024-01-21,102,Wireless Mouse,39.99,2
2024-01-22,106,Monitor Stand,89.99,1
2024-01-23,103,Keyboard,129.99,1
2024-01-24,107,Desk Pad,24.99,1
2024-02-01,108,Laptop Pro,1299.99,1
2024-02-02,104,Office Chair,299.99,1
2024-02-03,109,Desk Lamp,49.99,2
2024-02-04,110,Cable Organizer,14.99,4
2024-02-05,105,Webcam,79.99,1
2024-02-06,111,Laptop Pro,1299.99,1
2024-02-07,106,Phone Stand,19.99,2
2024-02-08,112,Headphones,199.99,1
2024-02-09,108,USB Hub,29.99,2
2024-02-10,113,Notebook Set,19.99,3
2024-03-01,114,Monitor Stand,89.99,2
2024-03-02,109,Wireless Mouse,39.99,1
2024-03-03,115,Keyboard,129.99,1
2024-03-04,110,Desk Pad,24.99,2
2024-03-05,116,Office Chair,299.99,1
2024-03-06,111,Webcam,79.99,1
2024-03-07,117,Laptop Pro,1299.99,1
2024-03-08,112,Cable Organizer,14.99,3
2024-03-09,118,Headphones,199.99,1
2024-03-10,113,Phone Stand,19.99,1
